video_id,nombre_legible,link,nicho,descripcion
Z_ikDlimN6A_EN_FORZADO,Curso PyTorch 25h,https://youtu.be/Z_ikDlimN6A,TECNOLOGIA,"Curso intensivo de PyTorch para deep learning (25h)"
VgzHT9quo5c_EN_FORZADO,Redes Neuronales freeCodeCamp,https://youtu.be/VgzHT9quo5c,IA,"Curso de redes neuronales desde cero"
3GymExBkKjE_ES,Git desde cero,https://youtu.be/3GymExBkKjE,TECNOLOGIA,"Curso completo de Git y GitHub"
HUcIxt1v0wU_ES,LangChain desde cero,https://youtu.be/HUcIxt1v0wU,IA,"Curso de LangChain para LLMs"
PuajnONLDZk_ES,OSINT desde cero,https://youtu.be/PuajnONLDZk,SEGURIDAD,"Curso de OSINT y análisis de inteligencia"
XrdCsFgkr4I_ES,IA y presencia,https://youtu.be/XrdCsFgkr4I,IA,"Conferencia sobre ética e IA"
1XvmcKT0DXo_ES,Terraform desde cero,https://youtu.be/1XvmcKT0DXo,TECNOLOGIA,"Curso de Terraform y AWS"
YFA5nCliGV4_ES,MCP en Python,https://youtu.be/YFA5nCliGV4,TECNOLOGIA,"Servidor MCP en Python paso a paso"
3zUYkXFZP3c_ES,Ateneo 693 ciberseguridad,https://youtu.be/3zUYkXFZP3c,SEGURIDAD,"Ateneo del Hospital Italiano sobre ciberseguridad"
DyhkXT_dgdk_ES_FORZADO,Erasing Dad,https://youtu.be/DyhkXT_dgdk,LEGAL,"Documental sobre alienación parental"
ONrw_JAOHvo_cs_original_es,LCA en checo,https://youtu.be/ONrw_JAOHvo,SALUD,"Ligamento cruzado anterior (checo)"
bgFehR2SAO8_ES,Tecnología China,https://youtu.be/bgFehR2SAO8,TECNOLOGIA,"Tecnología China e IA"
Iu5WyXo__ZQ_ES,3 Trucos ChatGPT Senior,https://youtu.be/Iu5WyXo__ZQ,TECNOLOGIA,"Cómo hacer que ChatGPT programe como un Senior"
Z_ikDlimN6A_ES,Curso PyTorch 25h,https://youtu.be/Z_ikDlimN6A,TECNOLOGIA,"Curso intensivo de PyTorch para deep learning (25h)"
